tconst,primaryTitle,startYear,the_numbers_url,found_url,normalized_title,kaggle_year,kaggle_title,Production_Countries
tt0120667,Fantastic Four,2005.0,https://www.the-numbers.com/movie/Fantastic-Four-(2005),True,fantastic four,2005,Fantastic Four,"Germany, United States of America"
tt0121164,Corpse Bride,2005.0,https://www.the-numbers.com/movie/Corpse-Bride,True,corpse bride,2005,Corpse Bride,"United Kingdom, United States of America"
tt0121766,Star Wars: Episode III - Revenge of the Sith,2005.0,https://www.the-numbers.com/movie/Star-Wars-Ep-III-Revenge-of-the-Sith,True,star wars episode iii revenge of the sith,2005,Star Wars: Episode III - Revenge of the Sith,United States of America
tt0167190,Hellboy,2004.0,https://www.the-numbers.com/movie/Hellboy,True,hellboy,2004,Hellboy,"Czech Republic, United States of America"
tt0200465,The Bank Job,2008.0,https://www.the-numbers.com/movie/Bank-Job-The,True,the bank job,2008,The Bank Job,"Australia, United Kingdom, United States of America"
tt0204313,Exorcist: The Beginning,2004.0,https://www.the-numbers.com/movie/Exorcist-The-Beginning,True,exorcist the beginning,2004,Exorcist: The Beginning,United States of America
tt0206634,Children of Men,2006.0,https://www.the-numbers.com/movie/Children-of-Men,True,children of men,2006,Children of Men,"United Kingdom, United States of America"
tt0211933,Awake,2007.0,https://www.the-numbers.com/movie/Awake,True,awake,2007,Awake,United States of America
tt0241025,Vanity Fair,2004.0,https://www.the-numbers.com/movie/Vanity-Fair,True,vanity fair,2004,Vanity Fair,"United Kingdom, United States of America"
tt0252028,Surviving Christmas,2004.0,https://www.the-numbers.com/movie/Surviving-Christmas,True,surviving christmas,2004,Surviving Christmas,United States of America
tt0257516,Cursed,2005.0,https://www.the-numbers.com/movie/Cursed,True,cursed,2005,Cursed,"Germany, United States of America"
tt0259324,Ghost Rider,2007.0,https://www.the-numbers.com/movie/Ghost-Rider,True,ghost rider,2007,Ghost Rider,United States of America
tt0265208,The Girl Next Door,2004.0,https://www.the-numbers.com/movie/Girl-Next-Door-The-(2004),True,the girl next door,2004,The Girl Next Door,"Switzerland, United States of America"
tt0267891,The Ringer,2005.0,https://www.the-numbers.com/movie/Ringer-The,True,the ringer,2005,The Ringer,United States of America
