tconst,primaryTitle,startYear,the_numbers_url,found_url
tt0120667,Fantastic Four,2005.0,https://www.the-numbers.com/movie/Fantastic-Four-(2005),True
tt0121164,Corpse Bride,2005.0,https://www.the-numbers.com/movie/Corpse-Bride,True
tt0121766,Star Wars: Episode III - Revenge of the Sith,2005.0,https://www.the-numbers.com/movie/Star-Wars-Ep-III-Revenge-of-the-Sith,True
tt0167190,Hellboy,2004.0,https://www.the-numbers.com/movie/Hellboy,True
tt0167456,Thunderbirds,2004.0,https://www.the-numbers.com/movie/Thunderbirds,True
tt0200465,The Bank Job,2008.0,https://www.the-numbers.com/movie/Bank-Job-The,True
tt0204313,Exorcist: The Beginning,2004.0,https://www.the-numbers.com/movie/Exorcist-The-Beginning,True
tt0206634,Children of Men,2006.0,https://www.the-numbers.com/movie/Children-of-Men,True
tt0211933,Awake,2007.0,https://www.the-numbers.com/movie/Awake,True
tt0212712,2046,2004.0,,False
tt0241025,Vanity Fair,2004.0,https://www.the-numbers.com/movie/Vanity-Fair,True
tt0252028,Surviving Christmas,2004.0,https://www.the-numbers.com/movie/Surviving-Christmas,True
tt0257516,Cursed,2005.0,https://www.the-numbers.com/movie/Cursed,True
tt0259324,Ghost Rider,2007.0,https://www.the-numbers.com/movie/Ghost-Rider,True
tt0265208,The Girl Next Door,2004.0,https://www.the-numbers.com/movie/Girl-Next-Door-The-(2004),True
tt0267891,The Ringer,2005.0,https://www.the-numbers.com/movie/Ringer-The,True
tt0275491,Bad Education,2004.0,https://www.the-numbers.com/movie/Bad-Education,True
tt0289879,The Butterfly Effect,2004.0,https://www.the-numbers.com/movie/Butterfly-Effect-The,True
tt0290002,Meet the Fockers,2004.0,https://www.the-numbers.com/movie/Meet-the-Fockers,True
tt0292963,Before the Devil Knows You're Dead,2007.0,https://www.the-numbers.com/movie/Before-the-Devil-Knows-Youre-Dead,True
tt0293429,Mortal Kombat,2021.0,https://www.the-numbers.com/movie/Mortal-Kombat-(2021),True
tt0293508,The Phantom of the Opera,2004.0,https://www.the-numbers.com/movie/Phantom-of-the-Opera-The-(2004),True
tt0293564,Rush Hour 3,2007.0,https://www.the-numbers.com/movie/Rush-Hour-3,True
tt0294870,Rent,2005.0,https://www.the-numbers.com/movie/Rent,True
tt0296572,The Chronicles of Riddick,2004.0,https://www.the-numbers.com/movie/Chronicles-of-Riddick-The-(2004),True
tt0297284,Mindhunters,2004.0,https://www.the-numbers.com/movie/Mindhunters,True
tt0298148,Shrek 2,2004.0,https://www.the-numbers.com/movie/Shrek-2,True
tt0299172,Home on the Range,2004.0,https://www.the-numbers.com/movie/Home-on-the-Range,True
tt0300051,Jersey Girl,2004.0,https://www.the-numbers.com/movie/Jersey-Girl,True
tt0304141,Harry Potter and the Prisoner of Azkaban,2004.0,https://www.the-numbers.com/movie/Harry-Potter-and-the-Prisoner-of-Azkaban,True
tt0307453,Shark Tale,2004.0,https://www.the-numbers.com/movie/Shark-Tale,True
